CATEGORÍA,CÓDIGO DE VEHÍCULO,TIPO TRANSACCIÓN,MARCA,MODELO,PAIS,CLASE,TIPO,FECHA COMPRA (MM/DD/AA),PERSONA NATURAL - JURIDICA
1019900,10050419,COMPRA LOCAL,FOTON,AUMAN BJ1186 AC 6.7 2P 4X2 TM DIESEL,CHINA POPULAR,CAMION,PESADO,2/13/2000,NATURAL
1019898,9996573,COMPRA LOCAL,FOTON,AUMARK E BJ1044 AC 2.8 2P 4X2 TM DIESEL,CHINA POPULAR,CAMION,PESADO,2/14/2000,NATURAL
1019898,9996573,COMPRA LOCAL,FOTON,AUMARK E BJ1044 AC 2.8 2P 4X2 TM DIESEL,CHINA POPULAR,CAMION,PESADO,2/15/2000,NATURAL
1018548,10040691,COMPRA LOCAL,SINOTRUK,HOWO T5G ZZ1257N464GC1 AC 6.9 2P 6X4 TM DIESEL,CHINA POPULAR,CAMION,PESADO,2/16/2000,NATURAL
1018248,10018187,COMPRA LOCAL,HYUNDAI,EX8 LWB SCB AC 3.9 2P 4X2 TM DIESEL,COREA DEL SUR,CAMION,PESADO,2/17/2000,NATURAL
1018098,9967731,COMPRA LOCAL,CHEVROLET,NMR 613 EIII 3.0 2P 4X2 TM DIESEL,JAPON,CAMION,PESADO,2/18/2000,NATURAL
1018098,9967731,COMPRA LOCAL,CHEVROLET,NMR 613 EIII 3.0 2P 4X2 TM DIESEL,JAPON,CAMION,PESADO,2/19/2000,NATURAL
1017663,10011800,COMPRA LOCAL,SINOTRUK,HOWO NPS ZZ1067F381CD165 AC 3.8 2P 4X2 TM DIESEL,CHINA POPULAR,CAMION,PESADO,2/20/2000,NATURAL
1017663,10011798,COMPRA LOCAL,SINOTRUK,HOWO NPS ZZ1067F381CD165 AC 3.8 2P 4X2 TM DIESEL,CHINA POPULAR,CAMION,PESADO,2/21/2000,NATURAL
1017663,10011807,COMPRA LOCAL,SINOTRUK,HOWO NPS ZZ1067F381CD165 AC 3.8 2P 4X2 TM DIESEL,CHINA POPULAR,CAMION,PESADO,2/22/2000,NATURAL
1017098,10057772,COMPRA LOCAL,FOTON,AUMARK S BJ1088 AC 3.8 2P 4X2 TM DIESEL,CHINA POPULAR,CAMION,PESADO,2/23/2000,NATURAL
1017098,9996564,COMPRA LOCAL,FOTON,AUMARK S BJ1088 AC 3.8 2P 4X2 TM DIESEL,CHINA POPULAR,CAMION,PESADO,2/24/2000,NATURAL
1017087,10031475,COMPRA LOCAL,HINO,XZU710L-WBFQL3 AC 4.0 2P 4X2 TM DIESEL,COLOMBIA,CAMION,PESADO,2/25/2000,NATURAL
1017087,10031472,COMPRA LOCAL,HINO,XZU710L-WBFQL3 AC 4.0 2P 4X2 TM DIESEL,COLOMBIA,CAMION,PESADO,2/26/2000,NATURAL
1017087,10031484,COMPRA LOCAL,HINO,XZU710L-WBFQL3 AC 4.0 2P 4X2 TM DIESEL,COLOMBIA,CAMION,PESADO,2/27/2000,NATURAL
1017087,10031474,COMPRA LOCAL,HINO,XZU710L-WBFQL3 AC 4.0 2P 4X2 TM DIESEL,COLOMBIA,CAMION,PESADO,2/28/2000,NATURAL
1017087,10031501,COMPRA LOCAL,HINO,XZU710L-WBFQL3 AC 4.0 2P 4X2 TM DIESEL,COLOMBIA,CAMION,PESADO,2/29/2000,NATURAL
1017087,10031501,COMPRA LOCAL,HINO,XZU710L-WBFQL3 AC 4.0 2P 4X2 TM DIESEL,COLOMBIA,CAMION,PESADO,3/1/2000,NATURAL
1017069,10102070,COMPRA LOCAL,TUKO,TK CR3 EVO,CHINA POPULAR,MOTOCICLETA,LIVIANO,3/2/2000,NATURAL
1017069,10102025,COMPRA LOCAL,TUKO,TK CR3 EVO,CHINA POPULAR,MOTOCICLETA,LIVIANO,3/3/2000,NATURAL
1017069,10101350,COMPRA LOCAL,TUKO,TK CR3 EVO,CHINA POPULAR,MOTOCICLETA,LIVIANO,3/4/2000,NATURAL
1017065,10101687,COMPRA LOCAL,RANGER,150BWS,CHINA POPULAR,MOTOCICLETA,LIVIANO,3/5/2000,NATURAL
1017048,9470585,COMPRA LOCAL,HYUNDAI,EX10 ELWB SCB AC 3.9 2P 4X2 TM DIESEL,COREA DEL SUR,CAMION,PESADO,3/6/2000,NATURAL
1016904,10057710,COMPRA LOCAL,FOTON,AUMARK S BJ1128 R22.5 AC 3.8 2P 4X2 TM DIESEL,CHINA POPULAR,CAMION,PESADO,3/7/2000,NATURAL
1016904,10057712,COMPRA LOCAL,FOTON,AUMARK S BJ1128 R22.5 AC 3.8 2P 4X2 TM DIESEL,CHINA POPULAR,CAMION,PESADO,3/8/2000,NATURAL
1016904,10057713,COMPRA LOCAL,FOTON,AUMARK S BJ1128 R22.5 AC 3.8 2P 4X2 TM DIESEL,CHINA POPULAR,CAMION,PESADO,3/9/2000,NATURAL
1016904,10057719,COMPRA LOCAL,FOTON,AUMARK S BJ1128 R22.5 AC 3.8 2P 4X2 TM DIESEL,CHINA POPULAR,CAMION,PESADO,3/10/2000,NATURAL
1016466,10107087,COMPRA LOCAL,BYD,SEALION 7 AC 5P 4X4 TA EV,CHINA POPULAR,JEEP,LIVIANO,3/11/2000,NATURAL
1016466,10107105,COMPRA LOCAL,BYD,SEALION 7 AC 5P 4X4 TA EV,CHINA POPULAR,JEEP,LIVIANO,3/12/2000,NATURAL
1016465,9921944,COMPRA LOCAL,CHEVROLET,NQR 915 EIII 5.2 2P 4X2 TM DIESEL,JAPON,CAMION,PESADO,3/13/2000,NATURAL
1016460,9964115,COMPRA LOCAL,SINOTRUK,HOWO ZZ1067F381CD165 FURGON METALICO AC 3.8 2P 4X2 TM DIESEL,CHINA POPULAR,ESPECIAL,PESADO,3/14/2000,NATURAL
1016156,10098531,COMPRA LOCAL,DAYTONA,DY200 EAGLE Z,CHINA POPULAR,MOTOCICLETA,LIVIANO,3/15/2000,NATURAL
1016156,10093710,COMPRA LOCAL,DAYTONA,DY200 EAGLE Z,CHINA POPULAR,MOTOCICLETA,LIVIANO,3/16/2000,NATURAL
1016156,10093796,COMPRA LOCAL,DAYTONA,DY200 EAGLE Z,CHINA POPULAR,MOTOCICLETA,LIVIANO,3/17/2000,NATURAL
1016156,10094267,COMPRA LOCAL,DAYTONA,DY200 EAGLE Z,CHINA POPULAR,MOTOCICLETA,LIVIANO,3/18/2000,NATURAL
1016156,10099205,COMPRA LOCAL,DAYTONA,DY200 EAGLE Z,CHINA POPULAR,MOTOCICLETA,LIVIANO,3/19/2000,NATURAL
1016156,10099208,COMPRA LOCAL,DAYTONA,DY200 EAGLE Z,CHINA POPULAR,MOTOCICLETA,LIVIANO,3/20/2000,NATURAL
1016156,10097193,COMPRA LOCAL,DAYTONA,DY200 EAGLE Z,CHINA POPULAR,MOTOCICLETA,LIVIANO,3/21/2000,VRD
1016151,10103316,COMPRA LOCAL,RENAULT,KWID INTENS AC 1.0 5P 4X2 TM,COLOMBIA,JEEP,LIVIANO,3/22/2000,NATURAL
1016151,10103321,COMPRA LOCAL,RENAULT,KWID INTENS AC 1.0 5P 4X2 TM,COLOMBIA,JEEP,LIVIANO,3/23/2000,NATURAL
1016151,10103327,COMPRA LOCAL,RENAULT,KWID INTENS AC 1.0 5P 4X2 TM,COLOMBIA,JEEP,LIVIANO,3/24/2000,NATURAL
1016151,10103346,COMPRA LOCAL,RENAULT,KWID INTENS AC 1.0 5P 4X2 TM,COLOMBIA,JEEP,LIVIANO,3/25/2000,NATURAL
1016151,10102695,COMPRA LOCAL,RENAULT,KWID INTENS AC 1.0 5P 4X2 TM,COLOMBIA,JEEP,LIVIANO,3/26/2000,NATURAL
1016151,10102703,COMPRA LOCAL,RENAULT,KWID INTENS AC 1.0 5P 4X2 TM,COLOMBIA,JEEP,LIVIANO,3/27/2000,NATURAL
1016151,10103312,COMPRA LOCAL,RENAULT,KWID INTENS AC 1.0 5P 4X2 TM,COLOMBIA,JEEP,LIVIANO,3/28/2000,NATURAL
1016151,10103340,COMPRA LOCAL,RENAULT,KWID INTENS AC 1.0 5P 4X2 TM,COLOMBIA,JEEP,LIVIANO,3/29/2000,NATURAL
1016151,10102698,COMPRA LOCAL,RENAULT,KWID INTENS AC 1.0 5P 4X2 TM,COLOMBIA,JEEP,LIVIANO,3/30/2000,NATURAL
1016151,10102701,COMPRA LOCAL,RENAULT,KWID INTENS AC 1.0 5P 4X2 TM,COLOMBIA,JEEP,LIVIANO,3/31/2000,NATURAL
1016151,10103306,COMPRA LOCAL,RENAULT,KWID INTENS AC 1.0 5P 4X2 TM,COLOMBIA,JEEP,LIVIANO,4/1/2000,NATURAL
1016151,10103315,COMPRA LOCAL,RENAULT,KWID INTENS AC 1.0 5P 4X2 TM,COLOMBIA,JEEP,LIVIANO,4/2/2000,NATURAL
1016151,10103333,COMPRA LOCAL,RENAULT,KWID INTENS AC 1.0 5P 4X2 TM,COLOMBIA,JEEP,LIVIANO,4/3/2000,NATURAL
1016151,10103334,COMPRA LOCAL,RENAULT,KWID INTENS AC 1.0 5P 4X2 TM,COLOMBIA,JEEP,LIVIANO,4/4/2000,NATURAL
1016150,10090442,COMPRA LOCAL,RENAULT,KWID ZEN AC 1.0 5P 4X2 TM,COLOMBIA,JEEP,LIVIANO,4/5/2000,NATURAL
1016150,10090487,COMPRA LOCAL,RENAULT,KWID ZEN AC 1.0 5P 4X2 TM,COLOMBIA,JEEP,LIVIANO,4/6/2000,NATURAL
1016150,10090490,COMPRA LOCAL,RENAULT,KWID ZEN AC 1.0 5P 4X2 TM,COLOMBIA,JEEP,LIVIANO,4/7/2000,NATURAL
